1. Crater name ,2. Diameter [km],3. Latitude [°],4. Longitude [°],5. East longitude [°],6. Radius [km],7. Radius [m],8. Apparent diameter [km],9. Transient cavity diameter [km],10. Transient cavity diameter [km],11. Floor diameter [km],12. Measured rim to floor depth [km],13. Rim to floor depth [km],14. Apparent depth [km],15. Transient cavity depth [km] ,16. Interior volume [km^3],17. Rim height [km],18. Rim flank width [km],19. Measured height of central peak [km],20. Height of central peak [km],21. Diameter of central peak [km],22. Basal area of central peak [km^2],23. Maximum diameter of ejecta blocks [km],24. Maximum diameter of ejecta blocks [km] ,25. Thickness of ejecta in the distance equal to one radius [m] ,26. Thickness of ejecta in the distance equal to two radii [m],27. Thickness of ejecta in the distance equal to three radii [m],28. Thickness of ejecta in the distance equal to four radii [m],29. Thickness of ejecta in the distance equal to five radii [m],"30. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","31. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","32. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","33. Thickness of ejecta in the distance of 10,000 m outside the rim [m]",34. Radial distance of continuous ejecta [km],35. Radial distance of continuous ejecta [km],36. Radius of ejecta blanket thicker than 10 m [km],37. Radius of ejecta blanket thicker than 10 m [km] minimum,38. Radius of ejecta blanket thicker than 10 m [km] best estimate,39. Radius of ejecta blanket thicker than 10 m [km] maximum,40. Radius of radar-bright halo [km],41. Measured radius of radar-bright halo [km],42. Radius of radar-dark halo [km],43. Measured radius of radar-dark halo [km],44. Depth of excavation [km],45. Depth of excavation [km],46. Depth of melting [km],47. Depth of melting [km],48. Melt volume [km^3] ,"49. Melt volume, 45° on basalt [km^3] ","50. Melt volume, 45° on anorthosite [km^3] ",51. Age,52. Age class,53. Remarks,54. Age - source ,55. Age - other sources,56. Basin age group,"57. Citation for first mention, citation for nomenclature from ",58. Approval,59. Peak lithology,60. Ol [vol.-%],61. Opx [vol.-%],62. Cpx [vol.-%],63. Plg [vol.-%],64. Mafics/Plg,65. Opx/Cpx,66. Plg [wt.-%],67. Ol [wt.-%],68. Opx [wt.-%],69. Cpx [wt.-%],70. FeO [wt.-%],71. Peak lithologies,72. Setting,73. Average CF [?m],74. Average OMAT,75. Average FeO [wt.-%],76. OMAT range,77. Plg abundance class,78. Province,79. Peak degradation,80. PAN location,81. Rays,1. Crater name 
Abulfeda J,4.07,-15.49,10.03,10.03,2,2035,3.38,3.42,0,0.37,0.57,0.81,0.707,1.14,2.7,0.15,1.06,,0,0,0,0.03,0.08,81.4,10.18,3.01,1.27,0.65,0.39,2.05,2.26,0.32,4.8,4.19,7.1,3.7,4.09,4.71,2.93,,12.98,,0,0.34,0,0.3,0.02,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda J
Abulfeda K,9.93,-14.92,10.58,10.58,5,4965,8.24,8.34,0,1.78,1.06,1.99,1.637,2.78,39.17,0.37,2.62,,0,0,0,0.05,0.14,198.6,24.83,7.36,3.1,1.59,7.25,21.04,23.11,5.98,11.77,10,19.18,11.66,13.45,16.41,8.94,,27.44,,0,0.83,0,0.96,0.5,0.2,0.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda K
Abulfeda L,4.95,-14.09,10.67,10.67,2.5,2475,4.11,4.16,0,0.52,0.62,0.99,0.85,1.39,4.85,0.18,1.29,,0,0,0,0.03,0.09,99,12.38,3.67,1.55,0.79,0.77,3.54,3.9,0.64,5.84,5.07,8.83,4.76,5.31,6.19,3.74,,15.3,,0,0.42,0,0.39,0.03,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda L
Abulfeda M,10.05,-16.23,12.06,12.06,5,5025,8.34,8.44,0,1.82,1.61,2.02,1.656,2.81,40.6,0.37,2.65,,0,0,0,0.05,0.14,201,25.13,7.44,3.14,1.61,7.52,21.64,23.77,6.2,11.91,10.12,19.43,11.84,13.66,16.69,9.08,,27.72,,0,0.84,0,0.97,0.52,0.2,0.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda M
Abulfeda N,13.07,-15.14,12.2,12.2,6.5,6535,10.85,10.98,0,2.89,0.83,2.63,2.121,3.66,0,0.49,3.46,,0,0,0,0.05,0.16,261.4,32.68,9.68,4.08,2.09,16.14,39.08,42.89,13.31,15.52,13.07,26.04,16.6,19.39,24.11,12.6,,34.56,,0,1.1,0,1.36,1.44,0.5,1.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda N
Abulfeda O,6.6,-15.47,11.16,11.16,3.3,3300,5.48,5.54,0,0.87,0.66,1.32,1.115,1.85,11.5,0.24,1.73,,0,0,0,0.03,0.1,132,16.5,4.89,2.06,1.06,2.02,7.65,8.41,1.66,7.8,6.71,12.16,6.9,7.8,9.26,5.37,,19.47,,0,0.55,0,0.56,0.1,0,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda O
Abulfeda P,4.59,-15.5,11.54,11.54,2.3,2295,3.81,3.86,0,0.46,0.63,0.91,0.792,1.29,3.87,0.17,1.2,,0,0,0,0.03,0.08,91.8,11.48,3.4,1.43,0.73,0.6,2.88,3.17,0.49,5.42,4.71,8.11,4.32,4.81,5.57,3.41,,14.36,,0,0.39,0,0.35,0.03,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda P
Abulfeda Q,3.51,-12.86,12.22,12.22,1.8,1755,2.91,2.95,0,0.28,1.33,0.7,0.615,0.98,1.73,0.13,0.91,,0,0,0,0.02,0.07,70.2,8.78,2.6,1.1,0.56,0.23,1.34,1.48,0.19,4.13,3.62,6.02,3.06,3.36,3.83,2.44,,11.46,,0,0.29,0,0.25,0.01,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda Q
Abulfeda R,6.34,-12.79,12.97,12.97,3.2,3170,5.26,5.33,0,0.81,,1.27,1.073,1.78,10.19,0.23,1.66,,0,0,0,0.03,0.1,126.8,15.85,4.7,1.98,1.01,1.77,6.89,7.58,1.46,7.49,6.45,11.63,6.55,7.39,8.76,5.1,,18.83,,0,0.53,0,0.54,0.09,0,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda R
Abulfeda S,5.28,-12.28,13.3,13.3,2.6,2640,4.38,4.44,0,0.58,0.55,1.05,0.904,1.48,5.89,0.19,1.38,,0,0,0,0.03,0.09,105.6,13.2,3.91,1.65,0.84,0.96,4.23,4.65,0.79,6.23,5.4,9.49,5.18,5.79,6.78,4.06,,16.15,,0,0.44,0,0.42,0.04,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda S
Abulfeda T,6.16,-14.86,13.71,13.71,3.1,3080,5.11,5.17,0,0.77,,1.23,1.045,1.72,9.35,0.23,1.62,,0,0,0,0.03,0.1,123.2,15.4,4.56,1.93,0.99,1.61,6.39,7.02,1.33,7.28,6.27,11.26,6.31,7.11,8.41,4.92,,18.38,,0,0.52,0,0.52,0.08,0,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda T
Abulfeda U,5.82,-12.97,13.8,13.8,2.9,2910,4.83,4.89,0,0.69,,1.16,0.99,1.63,7.89,0.21,1.53,,0,0,0,0.03,0.1,116.4,14.55,4.31,1.82,0.93,1.33,5.49,6.04,1.1,6.88,5.94,10.57,5.87,6.59,7.77,4.58,,17.52,,0,0.49,0,0.48,0.06,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda U
Abulfeda W,5.42,-12.55,13.85,13.85,2.7,2710,4.5,4.55,0,0.61,0.56,1.08,0.926,1.52,6.37,0.2,1.42,,0,0,0,0.03,0.09,108.4,13.55,4.01,1.69,0.87,1.05,4.54,4.99,0.87,6.4,5.54,9.77,5.35,6,7.03,4.19,,16.51,,0,0.46,0,0.44,0.05,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda W
Abulfeda X,5.8,-15.01,13.99,13.99,2.9,2900,4.81,4.87,0,0.69,0.9,1.16,0.987,1.62,7.8,0.21,1.52,,0,0,0,0.03,0.1,116,14.5,4.3,1.81,0.93,1.32,5.44,5.99,1.09,6.85,5.92,10.53,5.84,6.56,7.73,4.56,,17.47,,0,0.49,0,0.48,0.06,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda X
Abulfeda Y,4.63,-12.76,14.05,14.05,2.3,2315,3.84,3.89,0,0.46,1.08,0.92,0.799,1.3,3.97,0.17,1.21,,0,0,0,0.03,0.08,92.6,11.58,3.43,1.45,0.74,0.62,2.95,3.24,0.51,5.46,4.75,8.19,4.37,4.86,5.64,3.44,,14.46,,0,0.39,0,0.36,0.03,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda Y
Abulfeda Z,5.66,-14.73,15.18,15.18,2.8,2830,4.7,4.75,0,0.66,0.83,1.13,0.965,1.58,7.25,0.21,1.48,,0,0,0,0.03,0.09,113.2,14.15,4.19,1.77,0.91,1.21,5.1,5.61,1,6.69,5.78,10.25,5.66,6.35,7.47,4.43,,17.12,,0,0.48,0,0.46,0.06,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda Z
Acosta,13.06,-5.65,60.14,60.14,6.5,6530,10.84,10.97,0,2.89,,2.63,2.119,3.66,0,0.49,3.45,,0,0,0,0.05,0.16,261.2,32.65,9.67,4.08,2.09,16.1,39.01,42.82,13.28,15.51,13.06,26.02,16.59,19.37,24.08,12.59,,34.54,,0,1.1,0,1.36,1.44,0.5,1.1,,,,,,,IAU1976,1976,,,,,,,,,,,,,,,,,,,,,,,,Acosta
Adams,63.27,-31.89,68.39,68.39,31.6,31635,54.41,50.98,36.98,33.23,,3.64,2.729,16.99,3446.23,1.23,14.97,0.12,0,13.82,79.23,0.15,0.46,299.4,37.43,11.09,4.68,2.4,131.33,476.92,521.04,457.94,75.83,60.94,150.99,83.55,98.23,123.22,85.92,,129.86,,5.68,5.1,9.47,9.93,531.99,180.3,413.5,Nectarian,2,,GHM 1 PC,,,IAU1970,1970,,,,,,,,,,,,,,,,,,,,,,,,Adams
Adams B,31.33,-31.54,65.7,65.7,15.7,15665,26.94,28.05,19.18,13.81,,2.94,2.036,9.35,679.59,0.93,8.32,,0.53,5.54,17,0.1,0.29,177.98,22.25,6.59,2.78,1.42,40.47,194.26,212.68,117.55,37.39,30.69,68.99,35.66,40.9,49.55,40.72,,71.99,,3.13,2.81,3.41,4.59,53.33,18.1,41.5,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,rays,Adams B
Adams C,11.12,-32.35,65.54,65.54,5.6,5560,9.23,9.34,0,2.18,,2.23,1.821,3.11,55,0.41,2.93,,0,0,0,0.05,0.15,222.4,27.8,8.24,3.48,1.78,10.15,27.32,30.01,8.37,13.19,11.17,21.75,13.49,15.64,19.23,10.3,,30.18,,0,0.93,0,1.11,0.77,0.3,0.6,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Adams C
Adams D,46.26,-32.41,71.45,71.45,23.1,23130,39.78,39.07,27.6,22.47,,3.31,2.292,13.02,1671.87,1.09,11.52,,1.14,9.41,39.91,0.13,0.38,237.48,29.68,8.8,3.71,1.9,80.81,332.3,363.39,259.75,55.34,44.89,106.51,57.18,66.48,82.12,61.6,,99.84,,4.35,3.91,6.33,7.04,190.93,64.7,148.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Adams D
Adams M,25.23,-34.73,69.33,69.33,12.6,12615,21.7,23.34,15.66,10.54,,2.76,1.906,7.78,412.1,0.86,6.94,,0.35,3.96,10.58,0.08,0.25,151.63,18.95,5.62,2.37,1.21,26.32,137.67,150.82,72.26,30.07,24.84,54.2,27.43,31.22,37.43,32.35,,60.02,,0,2.33,0,3.62,26.26,8.9,20.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Adams M
Adams P,25.43,-35.15,70.91,70.91,12.7,12715,21.87,23.49,15.78,10.64,,2.77,1.911,7.83,419.69,0.86,6.99,,0.35,4.02,10.76,0.08,0.25,152.52,19.06,5.65,2.38,1.22,26.75,139.49,152.82,73.59,30.31,25.04,54.68,27.7,31.53,37.81,32.62,,60.42,,0,2.35,0,3.65,26.94,9.1,20.9,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Adams P
Aepinus,16.74,87.96,-109.69,250.31,8.4,8370,13.89,16.47,10.67,4.48,,2.44,2.677,5.49,0,0.63,4.44,,0,0,0,0.064,0.192,111.93,13.99,4.15,1.75,0.9,10.59,65.18,71.49,26.13,19.9,16.65,34.31,16.69,18.72,21.99,20.92,,42.54,,0,1.65,0,2.3,6.86,2.3,5.3,,,,,,,IAU2009,22-Jan-09,,,,,,,,,,,,,,,,,,,,,,,,Aepinus
Agatharchides,51.98,-19.85,-31.11,328.89,26,25990,44.7,43.14,30.78,26,,3.43,2.375,14.38,2188.56,1.14,12.7,,0,10.89,51.51,0.14,0.41,258.87,32.36,9.59,4.04,2.07,97.49,382.75,418.4,322.99,62.23,50.3,121.29,65.85,76.88,95.51,69.73,,110.11,,4.81,4.31,7.4,8,279.61,94.8,217.4,,,,,,,M1834,1935,,,,,,,,,,,,,,,,,,,,,,,,Agatharchides
Agatharchides A,15.68,-23.27,-28.46,331.54,7.8,7840,13.01,15.58,10.04,3.99,2.86,2.39,2.517,5.19,0,0.59,4.15,,0,0,0,0.06,0.18,106.64,13.33,3.95,1.67,0.85,9.05,57.18,62.74,21.96,18.64,15.62,31.9,15.42,17.26,20.21,19.52,,40.26,,0,1.56,0,2.14,5.54,1.9,4.3,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,rays,Agatharchides A
Agatharchides B,6.97,-21.52,-31.71,328.29,3.5,3485,5.79,5.85,0,0.95,0.96,1.39,1.174,1.95,13.54,0.26,1.83,,0,0,0,0.04,0.11,139.4,17.43,5.16,2.18,1.12,2.41,8.81,9.68,1.99,8.24,7.08,12.93,7.4,8.39,10,5.74,,20.39,,0,0.59,0,0.61,0.13,0,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Agatharchides B
Agatharchides C,11.46,-22.06,-32.94,327.06,5.7,5730,9.51,9.63,0,2.3,1.62,2.3,1.874,3.21,60.2,0.43,3.03,,0,0,0,0.05,0.15,229.2,28.65,8.49,3.58,1.83,11.08,29.25,32.12,9.14,13.6,11.5,22.5,14.02,16.28,20.06,10.69,,30.95,,0,0.96,0,1.15,0.87,0.3,0.7,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Agatharchides C
Agatharchides E,15.27,-20.74,-33.19,326.81,7.6,7635,12.67,15.23,9.8,3.81,1.99,2.37,2.455,5.08,0,0.57,4.04,,0,0,0,0.06,0.18,104.57,13.07,3.87,1.63,0.84,8.49,54.18,59.45,20.45,18.15,15.22,30.97,14.93,16.7,19.52,18.97,,39.38,,0,1.52,0,2.08,5.08,1.7,3.9,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Agatharchides E
Agatharchides F,5.89,-20.26,-31.86,328.14,2.9,2945,4.89,4.95,0,0.71,,1.18,1.002,1.65,8.17,0.22,1.54,,0,0,0,0.03,0.1,117.8,14.73,4.36,1.84,0.94,1.39,5.67,6.24,1.14,6.96,6.01,10.71,5.96,6.7,7.9,4.65,,17.7,,0,0.49,0,0.49,0.07,0,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Agatharchides F
Agatharchides G,5.96,-20.17,-26.84,333.16,3,2980,4.95,5.01,0,0.72,0.86,1.19,1.013,1.67,8.47,0.22,1.56,,0,0,0,0.03,0.1,119.2,14.9,4.41,1.86,0.95,1.44,5.85,6.44,1.19,7.04,6.08,10.86,6.05,6.81,8.03,4.72,,17.88,,0,0.5,0,0.49,0.07,0,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Agatharchides G
Agatharchides H,15.97,-20.41,-33.95,326.05,8,7985,13.26,15.82,10.21,4.12,,2.4,2.561,5.27,0,0.6,4.23,,0,0,0,0.06,0.19,108.1,13.51,4,1.69,0.86,9.46,59.34,65.1,23.06,18.98,15.9,32.56,15.76,17.66,20.69,19.9,,40.89,,0,1.58,0,2.19,5.88,2,4.6,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Agatharchides H
Agatharchides J,13.04,-21.62,-32.61,327.39,6.5,6520,10.82,10.95,0,2.88,,2.62,2.116,3.65,0,0.49,3.45,,0,0,0,0.05,0.16,260.8,32.6,9.66,4.08,2.09,16.03,38.88,42.68,13.23,15.48,13.05,25.98,16.55,19.34,24.03,12.57,,34.49,,0,1.1,0,1.36,1.43,0.5,1.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Agatharchides J
Agatharchides K,13.35,-21.08,-27.53,332.47,6.7,6675,11.08,11.21,0,3,,2.69,2.163,3.74,0,0.5,3.53,,0,0,0,0.06,0.17,267,33.38,9.89,4.17,2.14,17.13,40.9,44.89,14.13,15.85,13.35,26.67,17.06,19.95,24.83,12.94,,35.18,,0,1.12,0,1.4,1.56,0.5,1.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Agatharchides K
Agatharchides L,7.99,-21.12,-26.79,333.21,4,3995,6.63,6.71,0,1.21,0.4,1.6,1.335,2.24,20.4,0.3,2.1,,0,0,0,0.04,0.12,159.8,19.98,5.92,2.5,1.28,3.72,12.44,13.67,3.07,9.46,8.09,15.05,8.82,10.06,12.1,6.81,,22.86,,0,0.67,0,0.72,0.22,0.1,0.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Agatharchides L
Agatharchides N,21.65,-21.09,-29.72,330.28,10.8,10825,18.62,20.49,13.57,8.71,,2.63,1.82,6.83,289.39,0.8,6.11,,0.26,3.04,7.57,0.08,0.23,135.4,16.92,5.01,2.12,1.08,19.02,105.71,115.86,50.17,25.78,21.4,45.7,22.79,25.8,30.7,27.49,,52.79,,0,2.05,0,3.06,15.91,5.4,12.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Agatharchides N
Agatharchides O,4.65,-19.24,-26.71,333.29,2.3,2325,3.86,3.91,0,0.47,0.96,0.93,0.802,1.3,4.02,0.17,1.22,,0,0,0,0.03,0.08,93,11.63,3.44,1.45,0.74,0.62,2.98,3.28,0.52,5.49,4.77,8.23,4.4,4.89,5.67,3.46,,14.51,,0,0.39,0,0.36,0.03,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Agatharchides O
Agatharchides P,65.98,-20.3,-28.77,331.23,33,32990,56.74,52.83,38.46,35.02,,3.68,2.741,17.61,3796.81,1.26,15.5,,0,14.52,86.85,0.16,0.47,308.84,38.6,11.44,4.83,2.47,139.56,498.44,544.48,491.97,79.1,63.49,158.21,87.91,103.5,130.1,89.84,,134.51,,5.89,5.28,9.96,10.4,610.25,206.8,474.4,Nectarian,2,Flooded by mare ,W&B09,,,H1647   NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Agatharchides P
Agatharchides R,5.11,-18.36,-30.85,329.15,2.6,2555,4.24,4.29,0,0.55,0.63,1.02,0.876,1.43,5.34,0.19,1.34,,0,0,0,0.03,0.09,102.2,12.78,3.79,1.6,0.82,0.86,3.87,4.26,0.71,6.03,5.23,9.15,4.96,5.54,6.47,3.9,,15.71,,0,0.43,0,0.41,0.04,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Agatharchides R
Agatharchides S,3.06,-17.75,-30.59,329.41,1.5,1530,2.54,2.57,0,0.22,0.51,0.61,0.541,0.86,1.15,0.11,0.8,,0,0,0,0.02,0.06,61.2,7.65,2.27,0.96,0.49,0.14,0.9,0.99,0.12,3.6,3.17,5.16,2.57,2.8,3.16,2.05,,10.22,,0,0.26,0,0.21,0.01,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Agatharchides S
Agatharchides T,5.62,-18.32,-27.8,332.2,2.8,2810,4.66,4.72,0,0.65,0.41,1.12,0.958,1.57,7.1,0.21,1.47,,0,0,0,0.03,0.09,112.4,14.05,4.16,1.76,0.9,1.19,5,5.5,0.98,6.64,5.74,10.17,5.61,6.29,7.4,4.39,,17.02,,0,0.47,0,0.46,0.06,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Agatharchides T
Agrippa,43.75,4.1,10.47,10.47,21.9,21875,37.63,37.26,26.2,20.96,3,3.26,2.253,12.42,1469.73,1.07,10.99,,1.03,8.76,35.32,0.12,0.36,227.87,28.48,8.44,3.56,1.82,73.65,309.64,338.66,233.32,52.32,42.51,100.09,53.44,62.02,76.39,58.06,,95.28,,4.15,3.73,5.85,6.62,159.07,53.9,123.6,Eratosthenian,5,Do. ,GHM 1,,,VL1645  R1651,1935,,,,,,,,,,,,,,,8.25,0.24,7.57,,,,,,,Agrippa
Agrippa B,4.01,6.2,9.46,9.46,2,2005,3.33,3.37,0,0.36,0.57,0.8,0.698,1.12,2.58,0.15,1.05,,0,0,0,0.02,0.07,80.2,10.03,2.97,1.25,0.64,0.37,1.97,2.17,0.31,4.73,4.13,6.98,3.63,4.01,4.61,2.88,,12.82,,0,0.34,0,0.3,0.02,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Agrippa B
Agrippa D,21.36,3.77,6.72,6.72,10.7,10680,18.37,20.26,13.4,8.56,,2.62,1.812,6.75,280.51,0.8,6.04,,0.25,2.96,7.35,0.08,0.23,134.05,16.76,4.96,2.09,1.07,18.46,103.19,113.1,48.55,25.44,21.12,45.02,22.42,25.37,30.16,27.1,,52.19,,0,2.03,0,3.01,15.23,5.2,11.8,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Agrippa D
Agrippa E,5,5.16,8.44,8.44,2.5,2500,4.15,4.2,0,0.53,0.55,1,0.859,1.4,5,0.18,1.31,,0,0,0,0.03,0.09,100,12.5,3.7,1.56,0.8,0.8,3.64,4.01,0.66,5.9,5.12,8.93,4.83,5.39,6.28,3.79,,15.43,,0,0.42,0,0.39,0.04,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Agrippa E
Agrippa F,5.35,4.3,11.37,11.37,2.7,2675,4.44,4.49,0,0.6,,1.07,0.915,1.5,6.13,0.2,1.4,,0,0,0,0.03,0.09,107,13.38,3.96,1.67,0.86,1.01,4.38,4.82,0.83,6.32,5.47,9.63,5.27,5.89,6.9,4.13,,16.33,,0,0.45,0,0.43,0.05,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Agrippa F
Agrippa G,13.24,3.91,6.16,6.16,6.6,6620,10.99,11.12,0,2.96,,2.66,2.147,3.71,0,0.49,3.5,,0,0,0,0.05,0.16,264.8,33.1,9.81,4.14,2.12,16.73,40.18,44.1,13.81,15.72,13.24,26.42,16.88,19.73,24.55,12.81,,34.94,,0,1.11,0,1.39,1.51,0.5,1.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Agrippa G
Agrippa H,4.86,4.75,10.7,10.7,2.4,2430,4.03,4.08,0,0.5,0.97,0.97,0.836,1.36,4.59,0.18,1.27,,0,0,0,0.03,0.08,97.2,12.15,3.6,1.52,0.78,0.73,3.37,3.71,0.6,5.74,4.98,8.65,4.65,5.19,6.03,3.66,,15.06,,0,0.41,0,0.38,0.03,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Agrippa H
Agrippa S,31.71,5.28,8.89,8.89,15.9,15855,27.27,28.34,19.39,14.02,,2.96,2.043,9.45,698.78,0.94,8.4,,0.54,5.64,17.45,0.1,0.29,179.58,22.45,6.65,2.81,1.44,41.41,197.83,216.58,120.65,37.85,31.05,69.93,36.18,41.52,50.33,41.24,,72.72,,3.16,2.83,3.49,4.65,55.48,18.8,43.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Agrippa S
Airy,38.9,-18.14,5.61,5.61,19.5,19450,33.45,33.72,23.47,18.1,,3.14,2.174,11.24,1120.37,1.02,9.97,,0.81,7.51,27.3,0.11,0.33,208.9,26.11,7.74,3.26,1.67,60.18,265.07,290.02,184.9,46.49,37.91,87.81,46.35,53.57,65.6,51.24,,86.33,,3.76,3.37,4.91,5.82,108.29,36.7,84.2,,,,,,,VL1645  M1834,1935,,,,,,,,,,,,,,,8.09,0.26,6.34,,,,,,,Airy
Airy A,12.19,-17.05,7.64,7.64,6.1,6095,10.12,10.24,0,2.56,2.25,2.45,1.986,3.41,72.46,0.45,3.22,,0,0,0,0.05,0.16,243.8,30.48,9.03,3.81,1.95,13.24,33.56,36.85,10.92,14.47,12.21,24.1,15.18,17.67,21.87,11.55,,32.59,,0,1.02,0,1.25,1.1,0.4,0.9,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Airy A
Airy B,27.26,-17.67,8.46,8.46,13.6,13630,23.44,24.92,16.84,11.61,,2.82,1.952,8.31,492.77,0.88,7.4,,0.4,4.49,12.53,0.09,0.26,160.57,20.07,5.95,2.51,1.28,30.81,156.31,171.2,86.32,32.51,26.79,59.08,30.13,34.39,41.38,35.12,,64.05,,0,2.49,0,3.94,33.83,11.5,26.3,,,,,,,VL1645  NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Airy B
Airy C,30.49,-19.25,4.77,4.77,15.2,15245,26.22,27.41,18.69,13.35,,2.92,2.019,9.14,638.23,0.92,8.13,,0.5,5.33,16.02,0.1,0.29,174.44,21.8,6.46,2.73,1.4,38.41,186.39,204.08,110.79,36.39,29.89,66.93,34.51,39.54,47.84,39.56,,70.36,,3.05,2.74,3.24,4.45,48.8,16.5,37.9,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Airy C
Airy D,6.61,-18.13,8.34,8.34,3.3,3305,5.49,5.55,0,0.87,,1.32,1.116,1.85,11.55,0.24,1.73,,0,0,0,0.03,0.1,132.2,16.53,4.9,2.07,1.06,2.03,7.68,8.45,1.67,7.82,6.72,12.18,6.91,7.81,9.28,5.38,,19.5,,0,0.56,0,0.56,0.1,0,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Airy D
Airy E,38.04,-20.75,7.55,7.55,19,19020,32.71,33.08,22.99,17.6,0.6,3.12,2.16,11.03,1063.98,1.01,9.78,,0.78,7.28,26,0.11,0.33,205.47,25.68,7.61,3.21,1.64,57.85,257.08,281.29,176.71,45.46,37.09,85.65,45.11,52.09,63.72,50.04,,84.72,,3.69,3.31,4.74,5.68,100.65,34.1,78.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Airy E
Airy F,4.84,-18.2,7.26,7.26,2.4,2420,4.02,4.07,0,0.5,0.88,0.96,0.833,1.36,4.54,0.18,1.27,,0,0,0,0.03,0.08,96.8,12.1,3.59,1.51,0.77,0.72,3.33,3.67,0.59,5.71,4.96,8.61,4.63,5.16,6,3.64,,15.01,,0,0.41,0,0.38,0.03,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Airy F
